BANFP,1141.8333333333333
BCTF,1088.3666666666666
BAND,47306.09
BMRC,3558.61
BMLP,560.578947368421
BKSC,945.2777777777778
BOTJ,947.4509803921569
OZK,113257.83
BSVN,2063.4947368421053
BANR,12131.12
BZUN,71123.65
DFVL,3196.8888888888887
DFVS,700.0
STPP,801.5
BBSI,5496.4
GOLD,1203783.68
BXRX,40446.08
BCML,2325.72
BBQ,1211.8297872340424
BCBP,4208.85
BECN,46440.13
BBBY,611781.58
BGNE,34776.71
BELFA,842.7692307692307
BELFB,3528.5
BLPH,12490.58
BNFT,40367.59
BFYT,84710.43
BNTC,1492.3
BLI,77589.83908045977
BRY,24541.87
BYND,184080.75
BYSI,14806.55
BGCP,384852.63
BCYC,4131.09
BGFV,325963.24
BRPAW,4687.252873563219
BILI,233866.51
BASI,6525.18
BCDA,14091.0
BCRX,416393.78
BDSI,68093.02
BFRA,1049.648148148148
BIIB,89900.75
BHTG,37734.05
BKYI,809528.37
BLRX,41231.23
BMRN,100515.31
BMRA,109315.08
BNGO,2435756.3
BNGOW,17863.26
BPTH,6795.89
BSGM,75062.21
BSTC,3236.57
TECH,13332.81
BEAT,39925.62
BJRI,73432.27
BDTX,25313.32
BLKB,83307.6
BL,32412.31
BKCC,30380.71
TCPC,28760.84
BLMN,272842.67
BCOR,33977.2
BLBD,12919.86
BHAT,39173.09
BLUE,72915.17
BKEPP,4212.946808510638
BPMC,59411.02
ITEQ,1649.04
BMCH,28767.62
BSBK,2164.098901098901
BOKFL,1307.3372093023256
BNSO,1558.5492957746478
BKNG,28576.65
BIMI,19095.46
BRQS,41730.77
BOXL,662466.5
BCLI,71963.1
BWAY,1544.5714285714287
BBI,74249.49
BDGE,13794.69
BBIO,44618.08
BWB,3346.56
BHF,56605.85
BHFAL,2317.23
BHFAO,7452.02
BHFAP,2965.42
BRLI,9334.0
BRLIW,18585.125
AVGO,130700.13
AVGOP,777.9607843137255
BYFC,76793.84
BWEN,31149.15
BPY,181853.36
BPYPN,3323.85
BPYPO,3613.69
BPYPP,2575.48
BPYU,95994.48
BRKS,48108.54
BRP,24371.96
DOOO,9845.68
BRKR,53081.11
BMTC,9460.13
BNR,12613.48
BFST,3886.38
CFFI,652.7123287671233
CHRW,203176.11
CABA,13826.75
CDZI,13670.35
CZR,702700.93
CSTE,7260.5
CLBS,58334.54
CHY,21472.43
CHW,23253.08
CGO,2270.29
CPZ,8899.15
CSQ,35173.82
CAMP,23426.08
CVGW,9509.31
CALT,2024.57
CALM,41926.11
CLMT,21019.98
CLXT,5217.11
CMBM,12362.12
CAMT,14540.96
CAN,321654.78
CSIQ,96383.35
CGIX,3726.42
CPHC,927.1481481481482
CSWC,8738.75
CSWCL,2723.597014925373
CPTA,15818.87
CPTAG,2371.2987012987014
CPTAL,2884.7444444444445
CSTR,4609.49
CPST,22884.8
CARA,30903.03
CRDF,51939.49
CSII,31252.06
CDNA,45189.82
CTRE,45489.49
CARG,96244.47
PRTS,94741.23
TAST,68316.01
CASA,39024.5
CWST,20739.62
CASY,22979.32
CASI,106378.53
CASS,4958.48
CTRM,590480.04
CATB,19254.12
CBIO,33428.91
CPRX,135281.12
CATY,32296.02
CBAT,174736.0
CBMB,659.2692307692307
CBTX,5692.77
CDK,44488.7
CELC,2934.69
CLDX,64540.98
APOP,11284.81
APOPW,1517.9444444444443
CLRB,167866.89
CLSN,306987.83
CELH,61437.07
CYAD,3682.74
CETX,82275.7
CETXP,635.6296296296297
CNTG,36976.64
CETV,31039.52
CENT,6950.08
CENTA,22310.23
CVCY,3287.9
CNBKA,923.2333333333333
CNTY,45739.89
CRNT,68636.81
CERC,62782.37
CRNC,62770.02
CEVA,9607.14
CFBK,977.5744680851063
CFFA,24756.97
CFFAU,7672.45
CFFAW,25080.56
CHNGU,1672.2702702702702
CTHR,25343.77
GTLS,73239.92
CHTR,74269.28
CHKP,145630.06
CKPT,65841.09
CEMI,322276.67
CCXI,55749.25
CHMG,1257.2
